title,subtype,status,image,epCount,rating,synopsis,genre
Attack on Titan The Final Season,TV,Finished,https://media.kitsu.io/anime/poster_images/42422/large.jpg?1607339776,16,86.8,"4 years after the Survey Corps reached the shore beyond the walls, Falco Grice and Gabi Braun are among Marley's ""Warrior Candidates"" who wish to inherit the power of the Titans. After emerging victorious in a hard-fought war, they continue their military training when Marley shifts its focus on invading Paradis once again. Nevertheless, in the midst of this announcement, Reiner has an unexpected encounter with a key person from his past... one who brings along terror and chaos.

(Source: Anime News Network)",['none']
Kimetsu no Yaiba: Natagumo Yama Hen,movie,Finished,https://media.kitsu.io/anime/poster_images/44389/large.jpg?1618622765,1,86.37,Compilation movie of episodes 15-21 with some new footage and a special ending credits roll.,['none']
Kimetsu no Yaiba,TV,Finished,https://media.kitsu.io/anime/poster_images/41370/large.jpg?1597699092,26,85.83,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.

(Source: Crunchyroll)",['none']
Kimetsu no Yaiba: Mugen Ressha-hen,movie,Finished,https://media.kitsu.io/anime/poster_images/42586/large.jpg?1623047315,1,85.76,The movie adaptation of the Infinity Train arc.,['none']
Jujutsu Kaisen,TV,Finished,https://media.kitsu.io/anime/poster_images/42765/large.jpg?1619890522,24,85.3,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.

(Source: Crunchyroll)",['none']
Attack on Titan Season 3 Part 2,TV,Finished,https://media.kitsu.io/anime/poster_images/41982/large.jpg?1597696872,10,85.17,"Hoping to retake Wall Maria and find the answers humanity seeks in Grisha's basement, Eren, Mikasa, Armin, and the rest of the Scout Regiment return to the town where everything began: Shiganshina.

(Source: Anime News Network)",['none']
Attack on Titan,TV,Finished,https://media.kitsu.io/anime/poster_images/7442/large.jpg?1597698856,25,84.86,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Based on Hajime Isayama's award-winning manga, Shingeki no Kyojin follows Eren, along with his adopted sister Mikasa Ackerman and his childhood friend Armin Arlert, as they join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached.

(Source: MAL Rewrite)","['mystery', 'super-power', 'military', 'fantasy', 'drama', 'action']"
Boku no Hero Academia 5,TV,Ongoing,https://media.kitsu.io/anime/poster_images/43108/large.jpg?1613521741,25,84.84,Fifth season of Boku no Hero Academia.,['none']
Boku no Hero Academia 2,TV,Finished,https://media.kitsu.io/anime/poster_images/12268/large.jpg?1597699083,25,84.81,"At U.A. Academy, not even a violent attack can disrupt their most prestigious event: the school sports festival. Renowned across Japan, this festival is an opportunity for aspiring heroes to showcase their abilities, both to the public and potential recruiters.

However, the path to glory is never easy, especially for Izuku Midoriya—whose quirk possesses great raw power but is also cripplingly inefficient. Pitted against his talented classmates, such as the fire and ice wielding Shouto Todoroki, Izuku must utilize his sharp wits and master his surroundings to achieve victory and prove to the world his worth.

(Source: MAL)","['comedy', 'super-power', 'school', 'action']"
Boku no Hero Academia 3,TV,Finished,https://media.kitsu.io/anime/poster_images/13881/large.jpg?1597698784,25,84.81,Third season of Boku no Hero Academia.,"['comedy', 'super-power', 'school', 'action']"
Boku no Hero Academia,TV,Finished,https://media.kitsu.io/anime/poster_images/11469/large.jpg?1597698779,13,84.58,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in U.A. High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

(Source: MAL)","['comedy', 'super-power', 'school', 'action']"
Attack on Titan Season 3,TV,Finished,https://media.kitsu.io/anime/poster_images/13569/large.jpg?1597699269,12,84.53,"After recovering Eren and Historia, the recruits are put under the care of Levi. Stuck out in the middle of nowhere, Hange subjects Eren to a series of experiments in an attempt to find out more about his ability. But when their link to the secrets behind the wall is murdered, the squad must move out and find a new refuge. Except, a figure from Levi’s past has his own plans to stop them.

(Source: Funimation)",['none']
Hunter x Hunter (2011),TV,Finished,https://media.kitsu.io/anime/poster_images/6448/large.jpg?1597696571,148,84.18,"Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined.

Along the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and characters—all while learning what being a Hunter truly means.

(Source: MAL Rewrite)","['super-power', 'fantasy', 'action', 'adventure']"
Attack on Titan Season 2,TV,Finished,https://media.kitsu.io/anime/poster_images/8671/large.jpg?1597690836,12,83.88,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues!","['mystery', 'super-power', 'military', 'fantasy', 'drama', 'action']"
Koe no Katachi,movie,Finished,https://media.kitsu.io/anime/poster_images/10028/large.jpg?1597696620,1,83.52,"Shoya is a bully. When Shoko, a girl who can't hear, enters his elementary school class, she becomes their favorite target, and Shoya and his friends goad each other into devising new tortures for her. But the children's cruelty goes too far. Shoko is forced to leave the school, and Shoya ends up shouldering all the blame. Six years later, the two meet again. Can Shoya make up for his past mistakes, or is it too late?

(Source: Kodansha Comics)","['school', 'drama', 'romance']"
Death Note,TV,Finished,https://media.kitsu.io/anime/poster_images/1376/large.jpg?1597690591,37,83.51,"A shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm.

High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be.

With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L.

(Source: MAL Rewrite)","['mystery', 'supernatural', 'police', 'psychological', 'thriller']"
One Punch Man,TV,Finished,https://media.kitsu.io/anime/poster_images/10740/large.jpg?1597698857,12,83.48,"The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. Now, Saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. In fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

This all changes with the arrival of Genos, a 19-year-old cyborg, who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society, and Saitama, shocked that no one knows who he is, quickly agrees. And thus begins the story of One Punch Man, an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process.

(Source: MAL Rewrite)","['comedy', 'sci-fi', 'supernatural', 'super-power', 'parody', 'action']"
Yakusoku no Neverland,TV,Finished,https://media.kitsu.io/anime/poster_images/41312/large.jpg?1597698400,12,83.41,"The orphans at Grace Field House have only ever known peace. Their home is nice, their bellies stay full, and their caretaker, Mom, loves them very much. But their world turns upside down when the smartest children of the bunch—Emma, Ray, and Norman—learn what horror awaits them on adoption day. Now, their cultivated wit may be their only chance of survival.

(Source: Funimation)","['sci-fi', 'mystery', 'horror']"
Ansatsu Kyoushitsu 2nd Season,TV,Finished,https://media.kitsu.io/anime/poster_images/10877/large.jpg?1597696743,25,83.36,"The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights set on their teacher, the slippery Koro-sensei. They have more to worry about than just their teacher, however, as enemy assassins, both old and new, are out for the increased bounty on the octopus' head.

Moreover, their rivals in Class A, as well as Kunugigaoka Junior High's fearsome principal, stand to block Class E from achieving academic excellence. With all of these obstacles opposing them, the group must continue to work together in order to overcome their foes and accomplish their goal of successfully assassinating their teacher.

(Source: MAL Rewrite)","['comedy', 'school', 'action']"
